JobId,OperationId,Subdivision,ProcessingTime
1,1,Machining,2
1,2,Fabrication,3
1,3,Quality Control,1
1,4,Assembly,2
1,5,Testing,1
2,1,Machining,1
2,2,Fabrication,2
2,3,Surface Treatment,1
2,4,Assembly,4
2,5,Quality Control,1
3,1,Machining,3
3,2,Fabrication,1
3,3,Surface Treatment,1
3,4,Quality Control,1
3,5,Assembly,3
3,6,Testing,1
4,1,Machining,2
4,2,Assembly,3
4,3,Surface Treatment,1
4,4,Quality Control,2
5,1,Machining,2
5,2,Fabrication,2
5,3,Surface Treatment,2
5,4,Quality Control,1
5,5,Assembly,3
5,6,Testing,1
6,1,Fabrication,3
6,2,Assembly,2
6,3,Quality Control,1
6,4,Surface Treatment,1
6,5,Testing,2
